full_name,a,e,i,om,w,q,ad,per_y,H,neo,pha,rot_per
 25690 Iredale (2000 AP123),2.720964984603811,0.04435842072026969,5.40474174576257,180.2824559939314,327.309435962896,2.600267275051633,2.841662694155989,4.48841114163295,14.46,N,N,
 36973 (2000 SY307),2.3608388590637,0.1319517429180586,5.70407072200498,316.8549291658708,338.8517680728255,2.049322056861564,2.672355661265836,3.62750249422699,15.45,N,N,
106260 (2000 UC60),3.030501713557634,0.1211123041503112,5.989426858488231,350.7166684005173,136.5745969104499,2.663470668297202,3.397532758818066,5.27569892480931,14.72,N,N,
337632 (2001 TG96),2.36825578163596,0.1657668677523936,8.154046918681455,216.8872833814845,222.607414916847,1.97567743867767,2.760834124594249,3.64461041250237,16.74,N,N,
 43828 (1993 FB5),2.762615966755782,0.09365014191089432,5.461875280131157,17.52821941916745,158.0278042701564,2.5038965894238,3.021335344087764,4.59186359533845,14.72,N,N,
136074 (2002 YJ16),3.060087179011015,0.07107946274617867,24.99982168562685,77.57629864442923,77.02053788949158,2.842577826370443,3.277596531651587,5.3531436932869,14.49,N,N,
  4399 Ashizuri (1984 UA),2.576710822785065,0.1722807593222752,12.07817360297638,244.0109030595785,53.96582801478713,2.13279312568173,3.0206285198884,4.13624947141064,12.62,N,N,2.829
157830 (1997 YE),2.532516457321661,0.157779976803038,4.867905216057856,262.5635821132888,207.4270683841159,2.132936069432137,2.932096845211185,4.03029296667782,15.72,N,N,
 76040 (2000 DD52),3.096948008830157,0.02094419946905072,16.53382182927747,157.0015095059085,26.14569506404975,3.032084911987939,3.161811105672375,5.45015776682961,14.51,N,N,
535776 (2015 BD259),3.0814893859059,0.06658455954681052,9.679232209453236,136.7347172433373,228.5810438581132,2.876309772397184,3.286668999414615,5.40940149228038,16.02,N,N,
370788 (2004 TM27),2.731188117968885,0.06112548613093993,4.975806337049621,9.964917717462663,352.5164268720966,2.56424291654299,2.89813331939478,4.513730485535,16.82,N,N,
       (2010 MN60),2.573743694515397,0.1554211345256914,9.77266550661712,106.7649727464428,306.8833253310319,2.173729529535469,2.973757859495325,4.12910708146819,18.1,N,N,
 28384 (1999 JT76),2.426571100177596,0.138367662211536,6.976762397597918,140.8118644004583,217.1240834301575,2.090812129855947,2.762330070499246,3.7800516473751,13.75,N,N,
 43230 (2000 AX175),3.120439287508637,0.179356884227631,11.37844214092168,227.8873054782792,195.2394237515731,2.560767019479599,3.680111555537675,5.51228683254968,13.97,N,N,
350149 (2011 SQ86),3.019984402621213,0.01530740491193143,7.073972355297633,349.6456331307839,22.14232267830937,2.973756278542573,3.066212526699854,5.24825891534232,16.0,N,N,
347046 (2010 EU123),2.578886125499846,0.1086832181798679,9.252869994415418,155.0802468521127,333.5189001303818,2.298604482061112,2.85916776893858,4.14148841402176,16.5,N,N,
 24230 (1999 XE90),2.70160643745509,0.1501696962068984,9.953859029203072,283.6038649586045,19.1266883310246,2.295907019471858,3.107305855438322,4.44059663995876,14.15,N,N,
 35841 (1999 JR59),2.386771917512347,0.121914215443905,5.773341437671952,181.6398326305117,119.1679204520706,2.095790491745285,2.677753343279409,3.68743676366569,15.3,N,N,
 83487 (2001 SY97),3.029950635042673,0.03353665825758036,9.016591113283996,186.7498109982297,312.1789525766575,2.928336216057908,3.131565054027438,5.27425995903906,14.88,N,N,
  1547 Nele (1929 CZ),2.644593842759795,0.2531274093111414,11.7405860257199,291.3306576067397,154.7863940226053,1.975174654661812,3.314013030857778,4.30077453875105,10.73,N,N,7.0998
 68627 (2002 BF17),2.35033026632568,0.116813070914958,7.051890455549707,313.7816848548295,309.0584465579658,2.075780970251806,2.624879562399554,3.60330929608818,15.67,N,N,
  6779 Perrine (1990 DM1),2.2555750879443,0.1077854002026298,1.847322175234896,314.113135893134,199.9852233598812,2.012457024403141,2.498693151485458,3.38761569436425,14.06,N,N,72.279
167680 (2004 GY30),3.234859141924545,0.03537923019766374,2.091054535883269,188.0336762085991,335.7191476091739,3.120412315685379,3.34930596816371,5.81823507510875,15.84,N,N,
230448 (2002 QB117),2.874459593158838,0.2422109062141326,8.94349882983657,170.8570921438685,0.3424321318220763,2.178234130223929,3.570685056093747,4.87351732576721,16.02,N,N,
130093 (1999 XP14),2.403357270481952,0.294950064506848,11.24226135649461,23.67707158640219,317.5196602638429,1.694486888520298,3.112227652443606,3.72593870060217,15.43,N,N,
439889 (2000 PG5),2.086426407760631,0.4582498843061883,6.118967736941188,309.7485408180045,358.7433338041024,1.130321747790946,3.042531067730316,3.01378875870922,20.1,Y,N,
212293 (2005 MG28),3.116391345038479,0.05903990463541697,10.3263106044186,153.5579379086068,116.9248079309599,2.932399897220768,3.300382792856189,5.50156421631507,15.62,N,N,
268165 (2004 VA12),2.971225087972299,0.1709042816624901,3.148724412010889,139.8866176523755,299.4629484085064,2.463429998654824,3.479020177289774,5.12166929122517,16.57,N,N,
241842 (2001 SY346),3.143883086138717,0.08911134709335006,14.87507323334789,213.9965381356351,132.1460405229602,2.863727429228898,3.424038743048537,5.57452391735244,15.53,N,N,
175259 Offenberger (2005 JH91),3.152093993880626,0.2432980147904609,10.7481077762527,87.40663640252009,273.9017236320079,2.385195782736535,3.918992205024718,5.59637672154136,15.64,N,N,
243106 (2007 RG108),2.648847286121929,0.2011543341804406,1.528821153188596,221.2205834633012,87.16018274517869,2.116020173936406,3.181674398307452,4.31115446217831,16.88,N,N,
325669 (2009 TF),2.994919562463401,0.05343067471885224,10.2496435709908,174.6654614541644,111.92266067,2.834898989512292,3.15494013541451,5.18305653699526,16.34,N,N,
166344 (2002 JL139),2.562840652590862,0.1205012283862607,6.951417154189073,270.9327790871179,5.18642073896439,2.254015205795417,2.871666099386307,4.10289694537372,16.27,N,N,
 51707 (2001 KR28),2.896297666842144,0.1635640069211082,5.724126846063646,260.6574868853954,343.1223610078708,2.422567615217186,3.370027718467102,4.92916088920962,14.83,N,N,
   265 Anna (A887 DA),2.419367933583632,0.2673355083401692,25.64975706371085,335.5277645765571,251.5732680408292,1.772584977197148,3.066150889970118,3.76323277574942,11.94,N,N,11.681
 89245 (2001 UQ167),2.586391569914011,0.09298235639111814,14.26111853875711,12.03290944119092,274.5863851675579,2.345902787193283,2.826880352634739,4.15958129289295,14.85,N,N,
       (2010 LG58),2.100269932044773,0.1011214904130952,8.677923079690583,340.7310879057532,87.15347697139937,1.887887506246595,2.312652357842951,3.04383337513973,,N,N,
188101 (2001 YQ66),2.590844074605141,0.2777951305761762,10.2598474670599,291.3438350096868,57.49570399320604,1.871120206597694,3.310567942612589,4.17032706935829,15.35,N,N,5.64836
       (2010 FO8),2.229464402605133,0.07254656490892311,26.24551301543834,41.29372745088144,351.1750795932582,2.067724418609407,2.39120438660086,3.32896336604763,,N,N,
123860 Davederrick (2001 DX),3.051944094612851,0.09410226719614312,9.749539644080118,138.7867848179315,100.3890738183382,2.764749235953901,3.3391389532718,5.33179033676371,14.55,N,N,
       (2015 MZ68),2.900356870103133,0.1899182180458721,10.36431220359197,113.248828502889,170.8315822462252,2.349526261636043,3.451187478570223,4.93952695504263,16.4,N,N,
 56626 (2000 JH78),2.272755175385872,0.1620698789327805,4.332501743754999,329.2967471123658,285.8764076145815,1.904410019267234,2.641100331504511,3.42639308840025,15.37,N,N,
 22306 (1990 SF4),2.543452659962184,0.2237913383898293,10.61798969530092,230.2823497565053,55.5605672415404,1.974249985058075,3.112655334866293,4.05642723910182,14.17,N,N,
113809 (2002 TC210),3.208421770142176,0.1675344979272093,5.879051654514648,49.31396726241666,43.03762095651741,2.670900439742678,3.745943100541673,5.74705540509658,15.13,N,N,
170576 (2003 XE10),2.572813672481367,0.2176824105075224,27.58438031777431,66.02016264742475,333.8976042048982,2.012757390468912,3.132869954493822,4.12686920499849,15.37,N,N,
171828 (2001 FD103),2.382754693886141,0.2357198458567773,4.962545614800142,1.27021496413872,44.08328463187597,1.821092124728787,2.944417263043495,3.67813108403245,16.17,N,N,
296986 (2010 EK113),2.491647806898443,0.06692092772534179,5.466983261509349,351.8870858246446,290.0408885936173,2.324904424095986,2.6583911897009,3.93312894600453,16.7,N,N,
 70051 (1999 GD46),2.287258959696727,0.1898606244808642,10.37159805827516,71.86416370129125,226.0255195439785,1.852998545259255,2.721519374134199,3.45924409696909,15.48,N,N,
       (2010 AE130),2.737107209025896,0.2596451696915613,13.69370012968806,139.7192652817329,224.8649540568862,2.026430543274371,3.447783874777421,4.5284118170039,,N,N,
  8159 Fukuoka (1990 BE1),2.62435488395958,0.2942820082560728,12.40609126330678,125.409505192215,278.9697819742883,1.852054458331322,3.396655309587839,4.25149866328081,13.04,N,N,5.4
292766 (2006 UX193),3.049919825711063,0.07660800003167521,2.571801594019101,208.5952260594539,180.6957736259758,2.816271567606383,3.283568083815742,5.32648657602922,16.15,N,N,
115355 (2003 SQ246),3.122383594657225,0.1905820563665233,0.6260313728899622,202.0555303625487,135.7463578145725,2.527313308422355,3.717453880892096,5.51743959167924,15.18,N,N,
 88912 (2001 TS8),2.272290262058601,0.123167594067616,7.222729545325288,286.2385379787705,104.542529984995,1.99241773745757,2.552162786659631,3.42534179104019,15.23,N,N,
164751 (1998 UW3),2.764157361780013,0.06165450238004657,4.759163995235983,233.8356170634487,244.2239531101774,2.593734615139324,2.934580108420702,4.59570716043881,15.82,N,N,
 24483 (2000 XK50),2.417149833113948,0.2149710334045836,11.13558041436539,43.09555083967233,1.786631972959037,1.897532635595726,2.93676703063217,3.75805870852277,14.55,N,N,3.67796
 17683 Kanagawa (1997 AR16),2.983176427281876,0.1589142071977733,18.29012914941012,358.655844055943,194.149519814357,2.509107310409291,3.457245544154461,5.15260214762391,12.75,N,N,5.895
235894 (2005 CD62),3.145651536067476,0.1297327296225324,5.213957188455173,104.9177912237945,39.59724954868109,2.737557575852131,3.553745496282822,5.57922812502593,15.58,N,N,
